,Unnamed: 0,RECORD_ID,CIBIL_ID,CUSTOMER_ID,ENQUIRY_SEGMENT_HEADER,DATE_OF_ENQUIRY,ENQUIRY_MEMBER_SHORT_NAME,ENQUIRY_PURPOSE,ENQUIRY_AMOUNT,ENQUIRY_HEADER_COUNT
0,0,,1,1,I001,2017-12-23,NOT DISCLOSED,2,4500000,1
1,1,,1,1,I002,2017-06-21,NOT DISCLOSED,10,10000,2
2,2,,1,1,I003,2016-09-16,NOT DISCLOSED,1,40000,3
3,3,,1,1,I004,2016-08-27,AU FINANCIERS,1,200000,4
4,4,,1,1,I005,2016-08-25,NOT DISCLOSED,53,370000,5
5,5,,1,1,I006,2015-09-15,NOT DISCLOSED,0,250,6
6,6,,1,1,I007,2015-08-05,NOT DISCLOSED,10,10000,7
7,7,,1,1,I008,2015-06-16,NOT DISCLOSED,5,700000,8
8,8,,1,1,I009,2015-06-10,NOT DISCLOSED,10,1000,9
9,9,,1,1,I010,2015-06-09,NOT DISCLOSED,5,1,0
10,10,,1,1,I011,2015-06-08,NOT DISCLOSED,10,15000,1
11,11,,1,1,I012,2015-05-07,NOT DISCLOSED,5,400000,2
12,12,,1,1,I013,2014-06-23,NOT DISCLOSED,10,15000,3
13,13,,1,1,I014,2013-10-25,NOT DISCLOSED,10,100000,4
14,14,,1,1,I015,2013-10-24,NOT DISCLOSED,10,15000,5
15,15,,1,1,I016,2013-10-24,NOT DISCLOSED,10,10000,6
16,16,,1,1,I017,2013-10-22,NOT DISCLOSED,10,1000,7
17,17,,1,1,I018,2013-08-28,NOT DISCLOSED,1,650000,8
18,18,,1,1,I019,2013-08-27,NOT DISCLOSED,1,714000,9
19,19,,1,1,I020,2013-08-27,NOT DISCLOSED,1,650000,0
20,20,,1,1,I021,2013-08-23,NOT DISCLOSED,1,650000,1
21,21,,1,1,I022,2013-08-22,NOT DISCLOSED,1,600000,2
22,22,,1,1,I023,2013-08-20,NOT DISCLOSED,1,100000,3
23,23,,1,1,I024,2013-08-20,NOT DISCLOSED,1,600000,4
24,24,,1,1,I025,2013-08-05,NOT DISCLOSED,1,410000,5
25,25,,1,1,I026,2013-07-24,NOT DISCLOSED,1,600000,6
26,26,,1,1,I027,2013-05-16,NOT DISCLOSED,0,1,7
27,27,,1,1,I028,2013-03-24,NOT DISCLOSED,10,10000,8
28,28,,1,1,I029,2013-01-30,NOT DISCLOSED,10,1,9
29,29,,1,1,I030,2010-02-10,NOT DISCLOSED,0,30000,0
30,30,,1,1,I031,2009-02-26,NOT DISCLOSED,2,135000,1
31,31,,1,1,I032,2008-11-21,NOT DISCLOSED,10,300000,2
32,32,,1,1,I033,2008-08-07,NOT DISCLOSED,5,110000,3
33,33,,1,1,I034,2008-06-27,NOT DISCLOSED,13,36117,4
34,34,,1,1,I035,2007-12-17,NOT DISCLOSED,10,100000,5
35,35,,1,1,I036,2007-10-19,NOT DISCLOSED,10,10000,6
36,36,,1,1,I037,2007-09-18,NOT DISCLOSED,10,300000,7
37,37,,1,1,I038,2007-07-30,NOT DISCLOSED,5,50000,8
38,38,,1,1,I039,2007-05-15,NOT DISCLOSED,10,50000,9
39,39,,1,1,I040,2006-09-22,NOT DISCLOSED,10,15000,0
40,40,,1,1,I041,2006-05-08,NOT DISCLOSED,10,50000,1
41,41,,2,2,I001,2017-12-23,NOT DISCLOSED,2,4500000,1
42,42,,2,2,I002,2017-12-11,NOT DISCLOSED,10,1000,2
43,43,,2,2,I003,2016-08-25,NOT DISCLOSED,53,370000,3
44,44,,2,2,I004,2014-12-07,NOT DISCLOSED,10,10000,4
45,45,,2,2,I005,2013-07-26,NOT DISCLOSED,2,2300000,5
46,46,,2,2,I006,2013-07-24,NOT DISCLOSED,1,550000,6
47,47,,2,2,I007,2013-03-05,NOT DISCLOSED,2,1000000,7
48,48,,2,2,I008,2013-03-04,NOT DISCLOSED,2,1000000,8
49,49,,2,2,I009,2012-08-24,NOT DISCLOSED,10,1000,9
50,50,,2,2,I010,2009-02-26,NOT DISCLOSED,2,135000,0
51,51,,2,2,I011,2009-02-21,NOT DISCLOSED,2,1360000,1
52,52,,3,3,I001,2014-02-26,NOT DISCLOSED,2,1350000,0
53,53,,3,3,I002,2019-02-21,NOT DISCLOSED,2,136000,1
